,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,label
66,2022-03-13 15:46:11.266,1.4442085,1.3270334,1.2306603,1.6849502,0.81911737,0.75018847,0.8470116,1.2581441,0.7918355,0.71385187,0.3987192,1.3727078,0.5755185,0.35974455,0.19176231,0.8399848,-0.017884342,-0.14233105,-0.13384302,0.06791106,840.10986,804.65204,802.6374,826.8132,754.2857,0.064453125,-0.025634765625,1.002197265625,3.895416259765625,-4.007568359375,-1.8243408203125,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
67,2022-03-13 15:46:12.274,1.4442085,1.3270334,1.2143086,1.930306,0.81911737,0.75018847,0.7700012,1.3790584,0.7918355,0.71385187,0.32072756,1.3607315,0.5755185,0.35974455,0.15913853,0.9910346,-0.017884342,-0.14233105,-0.15010612,-0.060363516,822.7839,798.60803,795.78754,834.87177,898.5348,0.06689453125,-0.04058837890625,1.0035400390625,3.611297607421875,-3.087921142578125,-2.265472412109375,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
68,2022-03-13 15:46:13.283,1.103675,0.883387,1.1392914,0.8554597,0.8875207,0.45854205,0.553561,0.62273985,0.81980175,0.46693525,0.6159767,1.1162075,0.41239586,0.08383466,0.188406,0.4292346,-0.07575166,-0.4498379,-0.38626662,-0.04717486,813.91943,800.6227,793.7729,805.05493,850.18317,0.059814453125,-0.0311279296875,1.0015869140625,3.27484130859375,-3.648681640625,-1.816864013671875,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
69,2022-03-13 15:46:14.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
70,2022-03-13 15:46:14.289,0.98929024,0.9757319,0.958628,1.0556914,0.6951657,0.5430461,0.7203371,0.65450907,0.81965655,0.5361969,0.8028186,1.1375784,0.45251894,0.08331664,0.094675586,0.37236086,-0.017587956,-0.15154736,-0.15040095,-0.023845695,866.30035,829.6337,836.8865,871.9414,774.83514,0.05401611328125,-0.03192138671875,1.00482177734375,3.626251220703125,-4.015045166015625,-2.332763671875,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
71,2022-03-13 15:46:14.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,Positive
72,2022-03-13 15:46:15.300,1.3291701,1.239987,1.0723518,1.4307945,0.86231226,0.47681656,0.6395121,0.8367862,1.2586,0.37493655,0.51998836,1.0492792,0.5572945,0.19165967,0.36883366,0.54506564,0.040215988,0.0033602656,-0.045813873,0.021698775,793.7729,790.14655,787.72894,793.36993,761.9414,0.05279541015625,-0.030517578125,0.9969482421875,3.342132568359375,-3.162689208984375,-2.31781005859375,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
73,2022-03-13 15:46:16.302,1.3291701,1.239987,0.9971121,1.1375982,0.86231226,0.47681656,0.6784515,0.7182873,1.2586,0.37493655,0.5067827,0.7319613,0.5572945,0.19165967,0.39718536,0.29285473,0.040215988,0.0033602656,-0.10166661,-0.072030775,817.1429,830.4396,830.84247,823.5897,836.4835,0.060546875,-0.0355224609375,1.00335693359375,3.357086181640625,-3.00567626953125,-3.0206298828125,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
74,2022-03-13 15:46:17.309,1.137541,0.9820374,1.1318618,1.0402801,0.5648,0.432497,0.6067556,0.5434603,0.56552964,0.420267,0.42602524,0.7697761,0.46502352,0.20629688,0.36617714,0.41678122,0.053675115,-0.21090361,-0.17780326,-0.03864904,782.49084,802.23444,823.1868,789.7436,870.32965,0.04913330078125,-0.03369140625,1.005126953125,3.7384033203125,-3.760833740234375,-1.9439697265625,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
75,2022-03-13 15:46:18.325,1.0394716,1.0042346,1.1129932,0.8905895,0.7711036,0.6563819,0.7821618,0.5922611,0.85501623,0.19323188,0.46552643,0.67296404,0.362262,0.20672323,0.33733508,0.32163104,-0.11692608,-0.32689077,-0.35431919,-0.087948956,808.68134,796.5934,796.99634,805.8608,776.8498,0.0577392578125,-0.03350830078125,1.0003662109375,3.63372802734375,-4.23187255859375,-1.951446533203125,1.0,1.0,1.0,1.0,1.0,80.0,,Positive
