,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,label
10,2022-03-12 21:56:59.462,0.87840825,0.31182396,-0.27557763,0.8279721,0.3680918,-0.14892744,-0.10033888,0.48955828,1.1402804,0.3545639,0.3670601,1.5606161,0.67013484,0.09178618,-0.02221111,0.597665,0.22055358,-0.23985295,-0.21368852,0.13692148,826.4103,801.02563,814.7253,832.0513,831.2454,-0.9697265625,-0.0628662109375,0.2181396484375,3.9776611328125,-2.572021484375,-2.46734619140625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
11,2022-03-12 21:57:00.482,1.0566992,0.24705113,0.106224075,0.96387887,0.56922317,-0.14678255,-0.105749376,0.70677865,1.1155827,0.33252865,0.26054317,1.5666772,0.72164255,0.1198784,-0.07430029,0.6141536,0.385564,-0.13079247,-0.17123713,0.37350512,815.12823,799.011,815.12823,826.0073,791.75824,-0.9683837890625,-0.06842041015625,0.21575927734375,3.5589599609375,-3.09539794921875,-1.981353759765625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
12,2022-03-12 21:57:01.497,0.86145437,0.16855945,0.24940042,0.9611981,0.4547159,-0.3028054,-0.25631112,0.48776042,0.9599157,0.24514166,0.073512465,0.8243811,0.7473517,0.0051600453,0.026535956,0.5027451,0.22481257,0.014317095,-0.20773101,-0.010364404,838.49817,802.23444,789.34064,827.2161,862.27106,-0.97235107421875,-0.063232421875,0.212158203125,3.54400634765625,-3.267364501953125,-2.489776611328125,1,1.0,1.0,1.0,1.0,80.0,,Neutral
13,2022-03-12 21:57:02.510,0.937662,0.10121791,0.8273347,1.067132,0.40542552,-0.19753794,-0.45656955,0.31985623,0.7597978,0.33053288,0.13509709,0.84048,0.65129274,0.10158655,-0.054667108,0.41700384,0.05929354,-0.06657353,-0.36031964,-0.012610892,810.293,787.326,808.2784,813.1135,817.1429,-0.9705810546875,-0.06561279296875,0.22027587890625,3.446807861328125,-3.028106689453125,-2.19818115234375,1,1.0,1.0,1.0,1.0,80.0,,Neutral
14,2022-03-12 21:57:03.520,0.8604401,0.2279022,0.5325255,0.75725657,0.468211,0.02434506,-0.39318785,0.21379884,0.6248677,0.08770489,0.08200024,0.560935,0.55006206,0.07993368,-0.07627383,0.34724063,0.30537385,-0.13910984,-0.3595386,0.2193331,824.7985,798.60803,815.12823,821.5751,762.74725,-0.970947265625,-0.0643310546875,0.220947265625,3.42437744140625,-3.0804443359375,-2.190704345703125,1,1.0,1.0,1.0,1.0,80.0,,Neutral
15,2022-03-12 21:57:04.533,0.647438,-0.21777312,0.2766364,0.6955565,0.36034244,-0.10098412,-0.40270862,0.09787031,0.6481259,0.22392835,0.06157429,0.34343585,0.6818516,0.03068887,-0.02778091,0.24128698,0.21645552,-0.22782217,-0.21858828,0.15903345,811.50183,803.44324,820.7692,810.696,828.4249,-0.9725341796875,-0.0679931640625,0.21624755859375,3.45428466796875,-2.76641845703125,-2.332763671875,1,1.0,1.0,1.0,1.0,80.0,,Neutral
16,2022-03-12 21:57:05.534,0.7322112,-0.060715105,0.33171988,0.7647323,0.23350301,-0.19417377,-0.24613911,0.24332732,0.74340475,0.24050462,0.1467784,0.9459164,0.7464129,0.020837205,-0.1123492,0.34981316,0.1715651,-0.2895865,-0.2210699,-0.016452495,812.71063,803.8461,806.6667,794.17584,858.24176,-0.9713134765625,-0.0693359375,0.2154541015625,3.506622314453125,-3.1402587890625,-2.51220703125,1,1.0,1.0,1.0,1.0,80.0,,Neutral
17,2022-03-12 21:57:06.542,0.9384534,-0.033680752,0.3836335,0.7445108,0.4527546,-0.24185537,-0.20587856,0.44702223,0.79943585,0.3023205,0.0054074177,0.97323304,0.6738685,-0.08696155,-0.06217668,0.3763992,0.26665518,-0.36589473,-0.49359423,0.01864073,808.2784,799.011,803.44324,811.9048,765.16486,-0.97125244140625,-0.066650390625,0.21856689453125,3.648681640625,-3.529052734375,-2.46734619140625,1,1.0,1.0,1.0,1.0,80.0,,Neutral
18,2022-03-12 21:57:07.556,0.7837266,0.010811913,0.33755836,0.6078389,0.55804235,-0.07644828,-0.045938574,0.42150778,0.90028626,0.5600989,0.17655279,0.9792497,0.6839965,0.14572483,0.028413104,0.30035907,0.25810665,-0.07556076,-0.19257806,0.22433412,798.20514,794.17584,804.2491,810.293,805.4579,-0.9755859375,-0.0697021484375,0.218017578125,3.506622314453125,-2.91595458984375,-2.504730224609375,1,1.0,1.0,1.0,1.0,80.0,,Neutral
19,2022-03-12 21:57:08.574,0.46529773,0.16732863,0.38647032,0.399552,0.4349364,-0.19977576,0.02188904,0.24201751,0.86013556,0.45965013,0.19070104,1.0330342,0.6087432,0.1746876,-0.002115537,0.39122456,0.14130388,-0.19617617,-0.11055085,0.14754097,841.7216,789.7436,803.44324,825.6044,804.65204,-0.97137451171875,-0.0716552734375,0.21722412109375,3.446807861328125,-3.45428466796875,-2.79632568359375,1,1.0,1.0,1.0,1.0,80.0,,Neutral
