RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,label
826.4103,801.4286,808.68134,832.4542,Neutral
826.4103,801.02563,814.7253,832.0513,Neutral
815.12823,799.011,815.12823,826.0073,Neutral
838.49817,802.23444,789.34064,827.2161,Neutral
810.293,787.326,808.2784,813.1135,Neutral
824.7985,798.60803,815.12823,821.5751,Neutral
811.50183,803.44324,820.7692,810.696,Neutral
812.71063,803.8461,806.6667,794.17584,Neutral
808.2784,799.011,803.44324,811.9048,Neutral
798.20514,794.17584,804.2491,810.293,Neutral
841.7216,789.7436,803.44324,825.6044,Neutral
811.0989,805.8608,806.26373,814.7253,Neutral
835.2747,804.65204,798.60803,840.10986,Neutral
804.65204,799.011,815.12823,819.15753,Neutral
810.293,798.60803,819.5604,815.5311,Neutral
829.6337,796.1905,814.7253,817.1429,Neutral
806.6667,799.81683,812.3077,817.9487,Neutral
827.619,796.5934,815.5311,809.89014,Neutral
825.6044,792.5641,817.5458,838.0952,Neutral
807.47253,794.57874,810.293,806.26373,Neutral
827.619,800.2198,810.293,813.5165,Neutral
796.99634,787.72894,802.6374,817.5458,Neutral
826.4103,803.8461,807.47253,817.9487,Neutral
811.50183,805.8608,817.9487,815.5311,Neutral
870.32965,797.8022,805.4579,871.53845,Positive
902.1612,850.18317,846.1539,885.2381,Positive
813.5165,858.6447,862.27106,818.7546,Positive
675.31134,703.91943,684.9817,672.0879,Positive
904.17584,849.7802,842.9304,890.4762,Positive
892.0879,848.97437,859.45056,904.17584,Positive
900.9524,832.0513,825.6044,891.685,Positive
797.3993,780.07324,777.6557,808.68134,Positive
826.0073,796.5934,800.2198,813.5165,Positive
864.68866,832.4542,831.6484,857.4359,Positive
882.01465,828.8278,810.293,873.1502,Positive
803.44324,774.83514,782.49084,809.4872,Positive
814.3223,836.08057,828.4249,805.8608,Positive
842.1245,841.7216,838.0952,830.84247,Positive
900.54944,854.21246,851.79486,886.4469,Positive
859.85345,880.80585,875.16486,869.5238,Positive
852.6007,808.2784,816.7399,852.6007,Positive
768.7912,791.3553,798.20514,783.69965,Positive
786.9231,825.6044,810.696,790.9524,Positive
792.5641,832.8571,824.7985,806.26373,Positive
871.53845,828.022,832.8571,863.47986,Positive
898.93774,877.1795,887.6557,897.326,Positive
838.0952,807.47253,807.8755,842.9304,Positive
850.58606,812.71063,805.8608,837.6923,Positive
768.3883,784.10254,791.75824,781.28204,Positive
837.28937,823.1868,810.293,829.6337,Positive
841.7216,833.663,819.9634,836.08057,Positive
915.4579,783.2967,757.9121,899.7436,Positive
815.5311,816.337,789.34064,806.26373,Positive
810.696,829.6337,832.0513,806.6667,Positive
806.26373,794.57874,799.81683,813.1135,Positive
796.1905,799.011,812.3077,795.78754,Positive
862.674,828.8278,822.7839,859.0476,Positive
771.6117,812.71063,805.4579,786.52014,Positive
747.8388,777.25275,790.54944,770.0,Positive
790.9524,808.68134,802.23444,810.696,Positive
774.0293,783.69965,791.3553,795.38464,Positive
859.0476,827.619,830.4396,859.45056,Positive
803.8461,770.0,776.04395,802.23444,Positive
826.0073,797.8022,807.8755,831.2454,Positive
857.4359,823.9927,822.381,845.34796,Positive
903.36993,851.79486,853.8095,898.93774,Positive
888.86444,834.0659,838.49817,870.32965,Positive
855.82416,836.4835,832.4542,846.9597,Positive
854.21246,867.9121,859.45056,858.24176,Positive
840.10986,804.65204,802.6374,826.8132,Positive
822.7839,798.60803,795.78754,834.87177,Positive
813.91943,800.6227,793.7729,805.05493,Positive
866.30035,829.6337,836.8865,871.9414,Positive
793.7729,790.14655,787.72894,793.36993,Positive
817.1429,830.4396,830.84247,823.5897,Positive
782.49084,802.23444,823.1868,789.7436,Positive
808.68134,796.5934,796.99634,805.8608,Positive
840.9158,798.20514,804.65204,840.10986,Positive
808.68134,835.2747,835.6777,823.9927,Positive
829.2308,801.02563,801.4286,827.619,Positive
819.15753,813.1135,816.337,817.5458,Positive
863.8828,842.9304,832.8571,865.4945,Positive
777.6557,759.92676,766.3736,783.2967,Positive
803.44324,799.41394,808.2784,809.0842,Positive
859.85345,851.39197,842.52747,853.4066,Positive
865.09155,834.87177,834.0659,849.7802,Positive
847.3626,815.5311,824.3956,858.24176,Positive
828.4249,843.73627,845.34796,831.6484,Positive
871.53845,840.10986,844.5421,859.0476,Positive
796.5934,821.5751,819.15753,812.3077,Positive
820.3663,818.3516,822.7839,821.978,Positive
805.8608,826.8132,824.3956,810.696,Positive
787.72894,788.1319,792.96704,781.28204,Positive
813.91943,791.75824,792.1612,825.6044,Positive
838.9011,823.5897,809.4872,842.1245,Positive
819.9634,809.89014,807.0696,827.2161,Positive
848.5714,819.9634,822.7839,846.55676,Positive
811.0989,806.6667,799.011,805.4579,Positive
848.97437,807.8755,823.9927,844.5421,Positive
859.0476,832.4542,821.1722,853.8095,Positive
841.31866,828.022,833.663,835.2747,Positive
821.1722,802.23444,809.0842,831.2454,Positive
792.5641,795.78754,811.0989,809.89014,Positive
846.9597,818.7546,830.4396,873.5531,Positive
843.3333,830.4396,823.1868,834.0659,Positive
809.0842,797.3993,794.9817,830.4396,Positive
812.3077,809.0842,802.23444,808.2784,Positive
827.2161,802.6374,798.60803,834.4689,Positive
816.7399,835.2747,835.6777,820.3663,Positive
795.78754,796.5934,813.1135,809.0842,Positive
790.9524,791.75824,790.9524,796.5934,Positive
836.08057,809.89014,807.47253,845.34796,Positive
811.50183,826.8132,844.1392,819.15753,Positive
818.3516,811.50183,815.9341,832.0513,Positive
799.011,807.47253,802.6374,809.89014,Positive
818.3516,791.3553,793.7729,809.89014,Positive
833.2601,813.91943,826.8132,840.10986,Positive
768.3883,786.52014,794.57874,790.9524,Positive
843.3333,817.1429,813.1135,831.2454,Positive
794.9817,829.2308,821.1722,800.6227,Positive
810.293,826.4103,826.8132,827.619,Positive
873.95605,811.50183,795.78754,862.27106,Positive
828.8278,830.4396,830.0366,819.15753,Positive
813.1135,816.7399,809.4872,805.4579,Positive
804.65204,810.696,813.5165,805.4579,Positive
812.71063,809.0842,822.7839,809.4872,Positive
826.4103,818.3516,814.3223,837.28937,Positive
835.6777,798.60803,801.4286,829.6337,Positive
853.00366,822.7839,815.9341,856.2271,Positive
807.0696,797.8022,803.8461,828.8278,Positive
778.0586,758.315,762.74725,782.0879,Positive
824.7985,823.9927,809.4872,842.1245,Positive
821.5751,822.381,810.293,822.7839,Positive
795.38464,807.8755,813.91943,794.17584,Positive
850.58606,830.4396,826.4103,840.9158,Positive
826.8132,817.1429,814.3223,830.4396,Positive
810.696,812.3077,813.91943,815.9341,Positive
823.1868,832.8571,828.022,827.619,Positive
782.8938,801.8315,791.3553,791.75824,Positive
829.2308,813.1135,823.1868,832.0513,Positive
844.5421,836.4835,840.9158,862.27106,Positive
809.4872,816.7399,820.7692,821.978,Positive
831.6484,798.20514,796.5934,828.8278,Positive
836.08057,815.5311,809.4872,833.663,Positive
818.3516,812.3077,821.1722,819.5604,Positive
842.9304,815.12823,809.4872,843.73627,Positive
811.0989,816.7399,805.4579,811.50183,Positive
799.81683,807.8755,805.05493,815.12823,Positive
842.1245,814.7253,824.3956,850.18317,Positive
803.8461,844.1392,805.05493,792.1612,Positive
857.8388,825.2015,831.2454,857.4359,Positive
839.304,832.8571,823.5897,833.2601,Positive
854.21246,817.1429,833.2601,850.18317,Positive
798.20514,812.3077,813.5165,806.6667,Positive
841.31866,807.0696,813.91943,836.8865,Positive
825.2015,811.50183,825.2015,821.5751,Positive
840.9158,813.91943,816.337,831.2454,Positive
828.8278,800.2198,805.8608,850.58606,Positive
827.2161,824.7985,830.84247,821.5751,Positive
792.5641,799.81683,801.8315,798.60803,Positive
798.20514,800.6227,808.2784,816.7399,Positive
835.6777,825.6044,813.91943,833.2601,Positive
790.54944,805.05493,799.81683,790.54944,Positive
810.696,820.7692,811.9048,816.7399,Positive
796.5934,805.8608,798.60803,804.65204,Positive
806.26373,798.20514,808.68134,806.6667,Positive
821.1722,823.5897,824.7985,827.2161,Positive
819.5604,814.7253,814.7253,805.05493,Positive
815.5311,825.6044,819.5604,813.5165,Positive
828.022,819.15753,817.1429,817.1429,Positive
838.49817,812.71063,803.44324,836.8865,Positive
838.49817,803.8461,799.011,848.5714,Positive
895.31134,812.71063,815.12823,876.3736,Positive
804.65204,805.05493,805.05493,817.9487,Positive
851.79486,809.0842,817.5458,853.4066,Positive
